wall_ms,type,valid_ts_ms,x,y,theta,innov_norm
1789391277524,0,1789391277518,-0.730703,1.79734,-0.051428,0
1789391277576,0,1789391277569,-0.730686,1.79742,-0.0515218,0
1789391277629,0,1789391277622,-0.730716,1.79751,-0.0518662,0
1789391277681,0,1789391277674,-0.730743,1.79757,-0.052285,0
1789391277726,0,1789391277719,-0.73079,1.79759,-0.0526801,0
1789391277777,0,1789391277768,-0.730825,1.79763,-0.0529797,0
1789391277830,0,1789391277823,-0.730811,1.79776,-0.0526824,0
1789391277881,0,1789391277875,-0.730795,1.79788,-0.0519965,0
1789391277927,0,1789391277920,-0.730786,1.79778,-0.0518529,0
1789391277979,0,1789391277972,-0.73078,1.79766,-0.0513031,0
1789391278021,0,1789391278015,-0.73084,1.79771,-0.0517295,0
1789391278087,0,1789391278079,-0.730945,1.7978,-0.0518231,0
1789391278138,0,1789391278129,-0.730964,1.79784,-0.0519012,0
1789391278185,0,1789391278179,-0.730971,1.79787,-0.0519219,0
1789391278230,0,1789391278223,-0.731056,1.79785,-0.051832,0
1789391278282,0,1789391278274,-0.731245,1.79779,-0.0524136,0
1789391278338,0,1789391278331,-0.73143,1.79776,-0.0529023,0
1789391278387,0,1789391278380,-0.73156,1.79779,-0.0523908,0
1789391278434,0,1789391278427,-0.73164,1.79782,-0.0522823,0
1789391278487,0,1789391278479,-0.731554,1.79785,-0.0516846,0
1789391278540,0,1789391278532,-0.731467,1.79788,-0.0515038,0
1789391278600,0,1789391278593,-0.731452,1.79784,-0.0515535,0
1789391278645,0,1789391278638,-0.731454,1.79781,-0.0518691,0
1789391278694,0,1789391278687,-0.731445,1.79785,-0.0517026,0
1789391278741,0,1789391278734,-0.731439,1.7979,-0.0517632,0
1789391278792,0,1789391278786,-0.731392,1.79797,-0.05255,0
1789391278849,0,1789391278841,-0.73134,1.79806,-0.0525948,0
1789391278902,0,1789391278896,-0.731281,1.79802,-0.0527218,0
1789391278954,0,1789391278946,-0.731248,1.79786,-0.0529281,0
1789391279007,0,1789391278999,-0.731214,1.79772,-0.0532202,0
1789391279049,0,1789391279042,-0.731209,1.79769,-0.0532658,0
1789391279101,0,1789391279093,-0.731201,1.79762,-0.0535621,0
1789391279153,0,1789391279146,-0.731207,1.79745,-0.0539875,0
1789391279203,0,1789391279196,-0.731211,1.79729,-0.0542236,0
1789391279250,0,1789391279242,-0.731164,1.79724,-0.0542759,0
1789391279308,0,1789391279298,-0.731111,1.79718,-0.0542786,0
1789391279358,0,1789391279350,-0.731098,1.79712,-0.0540493,0
1789391279411,0,1789391279401,-0.731102,1.79706,-0.0542982,0
1789391279461,0,1789391279451,-0.731084,1.79702,-0.0544939,0
1789391279509,0,1789391279501,-0.731071,1.797,-0.0544027,0
1789391279555,0,1789391279548,-0.731053,1.79699,-0.0543265,0
1789391279608,0,1789391279598,-0.731052,1.797,-0.0542534,0
1789391279654,0,1789391279646,-0.731108,1.79704,-0.0546982,0
1789391279720,0,1789391279712,-0.731384,1.79718,-0.0553153,0
1789391279769,0,1789391279761,-0.73153,1.79727,-0.0555327,0
1789391279822,0,1789391279813,-0.731475,1.79726,-0.0552376,0
1789391279863,0,1789391279857,-0.731425,1.79725,-0.0557116,0
1789391279918,0,1789391279910,-0.731517,1.7973,-0.0558303,0
1789391279961,0,1789391279954,-0.731596,1.79734,-0.0559206,0
1789391280023,0,1789391280016,-0.731634,1.79739,-0.0555946,0
1789391280065,0,1789391280058,-0.731642,1.79741,-0.0554076,0
1789391280120,0,1789391280112,-0.731624,1.79742,-0.0555974,0
1789391280179,0,1789391280172,-0.731608,1.79741,-0.0553069,0
1789391280230,0,1789391280222,-0.731505,1.7974,-0.0554526,0
1789391280275,0,1789391280268,-0.731366,1.79738,-0.0559809,0
1789391280332,0,1789391280326,-0.731249,1.79735,-0.0562061,0
1789391280382,0,1789391280375,-0.731298,1.79731,-0.0568073,0
1789391280431,0,1789391280425,-0.731354,1.79728,-0.0570303,0
1789391280477,0,1789391280470,-0.73146,1.79728,-0.0571709,0
1789391280529,0,1789391280522,-0.731587,1.79729,-0.0566051,0
1789391280573,0,1789391280566,-0.731624,1.7973,-0.0568229,0
1789391280624,0,1789391280617,-0.731671,1.79731,-0.056365,0
1789391280673,0,1789391280667,-0.731545,1.7973,-0.0559334,0
1789391280734,0,1789391280726,-0.731374,1.79729,-0.0557939,0
1789391280788,0,1789391280779,-0.731301,1.79731,-0.0554989,0
1789391280836,0,1789391280829,-0.731293,1.79736,-0.0549312,0
1789391280884,0,1789391280875,-0.731366,1.79742,-0.055515,0
1789391280935,0,1789391280928,-0.731551,1.79751,-0.0558706,0
1789391280983,0,1789391280975,-0.731658,1.79759,-0.0554176,0
1789391281041,0,1789391281032,-0.731715,1.79773,-0.0554676,0
1789391281087,0,1789391281080,-0.731771,1.79782,-0.0553677,0
1789391281136,0,1789391281129,-0.731928,1.79782,-0.0550868,0
1789391281185,0,1789391281178,-0.732086,1.79782,-0.0552745,0
1789391281245,0,1789391281237,-0.732086,1.7978,-0.0558963,0
1789391281291,0,1789391281285,-0.732062,1.79779,-0.0558766,0
1789391281349,0,1789391281342,-0.73212,1.7978,-0.0558221,0
1789391281393,0,1789391281386,-0.732192,1.79782,-0.0558789,0
1789391281442,0,1789391281435,-0.732187,1.79783,-0.0554013,0
1789391281494,0,1789391281486,-0.732157,1.79784,-0.0547938,0
1789391281553,0,1789391281546,-0.73212,1.7978,-0.0548753,0
1789391281600,0,1789391281593,-0.732109,1.79774,-0.054785,0
1789391281658,0,1789391281650,-0.732084,1.79767,-0.0544304,0
1789391281702,0,1789391281694,-0.732058,1.79763,-0.0545968,0
1789391281751,0,1789391281744,-0.732044,1.7976,-0.0544067,0
1789391281798,0,1789391281791,-0.73212,1.79759,-0.0544198,0
1789391281861,0,1789391281854,-0.732231,1.79757,-0.0538553,0
1789391281907,0,1789391281899,-0.732204,1.79753,-0.0535938,0
1789391281955,0,1789391281948,-0.732176,1.79748,-0.0533641,0
1789391282001,0,1789391281993,-0.732173,1.79749,-0.0529913,0
1789391282057,0,1789391282049,-0.732181,1.79752,-0.0526835,0
1789391282105,0,1789391282098,-0.732302,1.79751,-0.0530019,0
1789391282159,0,1789391282152,-0.732513,1.79748,-0.0527565,0
1789391282210,0,1789391282203,-0.732568,1.79759,-0.0535056,0
1789391282261,0,1789391282254,-0.732507,1.79781,-0.0532377,0
1789391282308,0,1789391282299,-0.732466,1.79793,-0.0530827,0
1789391282358,0,1789391282351,-0.732479,1.79791,-0.0530278,0
1789391282414,0,1789391282407,-0.732493,1.79789,-0.0527401,0
1789391282471,0,1789391282464,-0.732546,1.79789,-0.0525381,0
1789391282522,0,1789391282513,-0.732588,1.79788,-0.0526419,0
1789391282576,0,1789391282568,-0.732517,1.79783,-0.0528422,0
1789391282637,0,1789391282631,-0.732435,1.79777,-0.0534818,0
1789391282688,0,1789391282681,-0.732618,1.79781,-0.0535482,0
1789391282743,0,1789391282735,-0.732875,1.79786,-0.0541402,0
1789391282792,0,1789391282785,-0.732842,1.7978,-0.0544058,0
1789391282840,0,1789391282831,-0.73271,1.7977,-0.0553818,0
