cycle,node,npts,gated,energy,fe_baseline,fe_surprise,R,motion_var,depth_var,trunc_frac,range,clutter_frac,s,w,h,cx,cy,yaw,std_s,std_w,std_h,phi
78,door_3,3794,0,0.608716,0.788841,0.0740327,0.010016,7.87067e-05,0,0,4.75324,0.08982,0.75511,0.894672,2.05594,-0.415187,4.61005,-0.014924,0.027923,0.00695272,0.00808765,0
79,door_3,4363,0,0.540709,0.776434,0.0666294,0.0102096,3.23059e-05,0,0,4.81593,0.0849655,0.742636,0.892449,2.05795,-0.428771,4.61026,-0.014924,0.0279255,0.00692816,0.00804873,0
80,door_3,4285,0,0.542091,0.764717,0.0599665,0.0104012,2.70505e-05,0,0,4.86677,0.0861843,0.742436,0.894747,2.0582,-0.427823,4.61024,-0.014924,0.0279742,0.00688285,0.00802312,0
81,door_3,4190,0,0.642723,0.758617,0.0539698,0.0105065,6.04772e-06,0,0,4.89908,0.0961417,0.74154,0.897584,2.05947,-0.4273,4.61024,-0.014924,0.0280066,0.00683389,0.00799216,0
82,door_3,4099,0,0.829802,0.758973,0.0556557,0.0107603,3.8642e-07,0,0,4.96486,0.117789,0.743541,0.898044,2.06139,-0.42507,4.6102,-0.014924,0.0279747,0.00680809,0.00796075,0
83,door_3,3988,0,0.511912,0.74662,0.0500902,0.0110067,3.74148e-05,0,0,5.0173,0.0868241,0.739026,0.900881,2.06263,-0.428166,4.61025,-0.014924,0.028003,0.00675929,0.00792867,0
84,door_3,3841,0,0.528362,0.735707,0.0450811,0.0111983,3.23047e-05,0,0,5.06607,0.0892451,0.760852,0.899707,2.06355,-0.406929,4.60993,-0.014924,0.0280097,0.00673853,0.0078995,0
85,door_3,3757,0,0.910039,0.736579,0.0579191,0.0113902,3.02871e-06,0,0,5.12036,0.132218,0.755575,0.899036,2.06361,-0.412541,4.61002,-0.014924,0.0280632,0.00671829,0.00787789,0
108,door_2,1595,0,0.645436,1.13747,0.0516853,0.00407321,4.47581e-05,0,0,2.79663,0.0412527,0.752465,0.7,2.06411,1.18397,2.538,0,0.600324,0.0153319,0.00563415,0
86,door_3,3543,0,0.753697,0.736664,0.0538304,0.0116139,0.000100203,0,0,5.15113,0.114437,0.74208,0.896946,2.06335,-0.427079,4.61023,-0.014924,0.0283553,0.00669879,0.0078569,0
87,door_3,3386,0,0.733355,0.736499,0.0484474,0.0117281,2.7358e-06,0,0,5.20226,0.112805,0.745515,0.894607,2.06282,-0.424814,4.6102,-0.014924,0.02875,0.0066798,0.00783709,0
110,door_2,959,0,0.445445,1.10287,0.0465168,0.00423486,3.83737e-05,0,0,2.87075,0.0316318,0.752465,0.7,2.06381,1.18397,2.538,0,0.600345,0.0149078,0.00564303,0
88,door_3,3550,0,0.793539,0.736784,0.0492781,0.0119201,2.63949e-06,0,0,5.24821,0.121035,0.748411,0.89283,2.0679,-0.422807,4.61017,-0.014924,0.0288623,0.00666088,0.00763899,0
89,door_3,3421,0,0.957501,0.737888,0.0663116,0.0121682,5.89459e-08,0,0,5.30758,0.144468,0.722894,0.890997,2.07213,-0.449237,4.61056,-0.014924,0.0289447,0.00664116,0.00746019,0
112,door_2,920,0,0.407384,1.0681,0.0418651,0.00452276,1.12667e-05,0,0,3.00478,0.033827,0.752465,0.7,2.06351,1.18397,2.538,0,0.600366,0.0145179,0.00565182,0
90,door_3,3401,0,0.820088,0.738299,0.0678593,0.0122737,2.86161e-06,0,0,5.33171,0.126512,0.722297,0.888964,2.07382,-0.450851,4.61059,-0.014924,0.0288744,0.00662131,0.00735826,0
113,door_2,1020,0,0.371002,1.03324,0.0376786,0.00461531,3.60592e-05,0,0,3.03284,0.0335651,0.752465,0.7,2.06321,1.18397,2.538,0,0.600386,0.0141579,0.00566051,0
91,door_3,3285,0,1.02269,0.739721,0.0893702,0.0123865,1.56587e-06,0,0,5.35838,0.155716,0.721818,0.886822,2.07324,-0.4524,4.61061,-0.014924,0.0290004,0.00660269,0.0073459,0
114,door_2,3415,0,0.355749,0.999367,0.0339107,0.0048152,1.91282e-05,0,0,3.12093,0.0402541,0.752465,0.7,2.06277,1.18397,2.538,0,0.600407,0.0138241,0.00562748,0
92,door_3,3345,0,1.04088,0.741226,0.110399,0.0125345,7.53739e-06,0,0,5.39143,0.159731,0.704429,0.885868,2.07266,-0.470264,4.61088,-0.014924,0.0288144,0.00658338,0.00733372,0
