cycle,node,L,p_exists,cx,cy,inroom,roomprior_loaded,won,since_det,sil_occ,sil_free,sil_free_eff,n_detectable,n_total,n_occluded,resolvability,central_frac,p_detect,oblq,remove_streak,obs_top_z,obs_top_conf,trunc,gated,gate_fresh
4020,door_2,-4,0.0179862,0.784589,2.538,1,1,0,1265,0,0,0,0,420,0,0,0,0,0.915764,12.9309,2.02357,0.999999,0,0,0
4080,door_3,4,0.982014,-0.385834,4.60962,1,1,1,0,420,0,0,420,420,0,1,0.214286,0.214286,0.999931,0,2.0638,0.999199,0,0,1
4080,door_2,-4,0.0179862,0.784589,2.538,1,1,0,1340,0,0,0,0,420,90,0,0,0,0.931161,12.9309,2.02357,0.999999,0,0,0
4140,door_3,4,0.982014,-0.419272,4.61012,1,1,1,0,420,0,0,420,420,0,1,0.142857,0.142857,0.999899,0,2.0722,0.999963,0,0,1
4140,door_2,-4,0.0179862,0.784589,2.538,1,1,0,1410,0,0,0,0,420,30,0,0,0,0.925428,12.9309,2.02357,0.999999,0,0,0
4200,door_3,4,0.982014,-0.422497,4.61016,1,1,1,0,420,0,0,420,420,0,1,0.142857,0.142857,0.999907,0,2.07258,0.999998,0,0,1
4200,door_2,-4,0.0179862,0.784589,2.538,1,1,0,1481,0,0,0,0,420,30,0,0,0,0.925428,12.9309,2.02357,0.999999,0,0,0
4260,door_3,4,0.982014,-0.476446,4.61097,1,1,0,75,0,0,0,0,420,0,0,0,0,0.996626,0,2.00169,0.999999,0.023217,0,0
4260,door_2,-4,0.0179862,0.784589,2.538,1,1,0,1593,0,0,0,0,420,0,0,0,0,0.895516,12.9309,2.02357,0.999999,0,0,0
4320,door_3,-2.15841,0.103548,-0.483959,4.61108,1,1,1,0,192,228,0,420,420,0,0.65,1,0.65,0.94734,5.47619,2.00789,0.999999,0,0,1
4320,door_2,-4,0.0179862,0.784589,2.538,1,1,0,1659,0,0,0,0,420,420,0,0,0,0.756325,12.9309,2.02357,0.999999,0,0,0
4380,door_3,3.99079,0.98185,-0.496192,4.61126,1,1,0,94,0,0,0,0,420,0,0,0,0,0.975563,0,2.01205,0.999999,0,0,0
4380,door_2,-4,0.0179862,0.784589,2.538,1,1,0,1767,0,0,0,0,420,0,0,0,0,0.887367,12.9309,2.02357,0.999999,0,0,0
4440,door_3,-4,0.0179862,-0.496192,4.61126,1,1,0,214,0,0,0,0,420,0,0,0,0,0.950529,3.40362,2.01205,0.999999,0,0,0
4440,door_2,-4,0.0179862,0.784589,2.538,1,1,0,1887,0,0,0,0,420,0,0,0,0,0.833382,12.9309,2.02357,0.999999,0,0,0
4500,door_3,4,0.982014,-0.457144,4.61068,1,1,1,0,292,128,0,420,420,0,0.833333,1,0.833333,1,0,2.00329,0.999999,0,0,1
4560,door_2,4,0.982014,0.909436,2.538,1,1,1,0,390,30,0,420,420,0,1,1,1,0.961509,0,2.0381,0.905532,0,0,1
4560,door_3,4,0.982014,-0.382773,4.60957,1,1,1,0,420,0,0,420,420,0,1,0,0,0.999757,0,2.06303,0.999999,0,0,1
4620,door_2,4,0.982014,0.863138,2.538,1,1,1,0,417,3,0,420,420,0,1,0.559524,0.559524,0.998277,0,2.05153,0.994376,0,0,1
4620,door_3,4,0.982014,-0.370289,4.60939,1,1,0,17,0,0,0,0,420,420,0,0,0,0.96563,0,2.03632,0.999999,0,0,0
4680,door_2,3.21749,0.961487,0.839973,2.538,1,1,0,169,0,0,0,0,420,0,0,0,0,0.903885,0,2.02455,0.997639,0.0617433,0,0
4680,door_3,4,0.982014,-0.370289,4.60939,1,1,0,204,0,0,0,0,420,0,0,0,0,0.885921,0,2.03632,0.999999,0,0,0
4740,door_2,4,0.982014,0.824995,2.538,1,1,1,0,359,61,0,420,420,0,0.930952,1,0.930952,0.994942,0,2.04707,0.999013,0,0,1
4740,door_3,4,0.982014,-0.370289,4.60939,1,1,0,286,0,0,0,0,420,420,0,0,0,0.970809,0,2.03632,0.999999,0,0,0
4800,door_2,4,0.982014,0.777063,2.538,1,1,0,48,0,0,0,0,420,0,0,0,0,0.959987,0,2.05811,0.999681,0,0,0
4800,door_3,4,0.982014,-0.370289,4.60939,1,1,0,358,0,0,0,0,420,0,0,0,0,0.998905,0,2.03632,0.999999,0,0,0
4860,door_2,4,0.982014,0.777063,2.538,1,1,0,121,0,0,0,0,420,0,0,0,0,0.839813,0,2.05811,0.999681,0,0,0
4860,door_3,4,0.982014,-0.370289,4.60939,1,1,0,431,0,0,0,0,420,0,0,0,0,0.949306,0,2.03632,0.999999,0,0,0
4920,door_2,4,0.982014,0.777063,2.538,1,1,0,187,0,0,0,0,420,0,0,0,0,0.615158,0,2.05811,0.999681,0,0,0
4980,door_2,4,0.982014,0.777063,2.538,1,1,0,259,0,0,0,0,420,0,0,0,0,0.483713,0,2.05811,0.999681,0,0,0
5040,door_2,4,0.982014,0.777063,2.538,1,1,0,339,0,0,0,0,420,420,0,0,0,0.774339,0,2.05811,0.999681,0,0,0
5100,door_2,4,0.982014,0.777063,2.538,1,1,0,472,0,0,0,0,420,0,0,0,0,0.419865,0,2.05811,0.999681,0,0,0
5160,door_2,4,0.982014,0.777063,2.538,1,1,0,538,0,0,0,0,420,0,0,0,0,0.930031,0,2.05811,0.999681,0,0,0
5220,door_2,4,0.982014,0.777063,2.538,1,1,0,599,0,0,0,0,420,0,0,0,0,0.941214,0,2.05811,0.999681,0,0,0
5280,door_2,4,0.982014,0.777063,2.538,1,1,0,661,0,0,0,0,420,0,0,0,0,0.941214,0,2.05811,0.999681,0,0,0
5340,door_2,4,0.982014,0.777063,2.538,1,1,0,733,0,0,0,0,420,0,0,0,0,0.95201,0,2.05811,0.999681,0,0,0
5400,door_2,4,0.982014,0.777063,2.538,1,1,0,802,0,0,0,0,420,0,0,0,0,0.95201,0,2.05811,0.999681,0,0,0
5460,door_2,4,0.982014,0.777063,2.538,1,1,0,872,0,0,0,0,420,0,0,0,0,0.952011,0,2.05811,0.999681,0,0,0
5520,door_2,4,0.982014,0.777063,2.538,1,1,0,942,0,0,0,0,420,0,0,0,0,0.952011,0,2.05811,0.999681,0,0,0
5580,door_2,4,0.982014,0.777063,2.538,1,1,0,1015,0,0,0,0,420,0,0,0,0,0.952012,0,2.05811,0.999681,0,0,0
5640,door_2,4,0.982014,0.777063,2.538,1,1,0,1088,0,0,0,0,420,0,0,0,0,0.952013,0,2.05811,0.999681,0,0,0
5700,door_2,4,0.982014,0.777063,2.538,1,1,0,1158,0,0,0,0,420,0,0,0,0,0.952013,0,2.05811,0.999681,0,0,0
5760,door_2,4,0.982014,0.777063,2.538,1,1,0,1229,0,0,0,0,420,0,0,0,0,0.952014,0,2.05811,0.999681,0,0,0
5820,door_2,4,0.982014,0.777063,2.538,1,1,0,1301,0,0,0,0,420,0,0,0,0,0.952014,0,2.05811,0.999681,0,0,0
5880,door_2,4,0.982014,0.777063,2.538,1,1,0,1373,0,0,0,0,420,0,0,0,0,0.952015,0,2.05811,0.999681,0,0,0
5940,door_2,4,0.982014,0.777063,2.538,1,1,0,1446,0,0,0,0,420,0,0,0,0,0.952015,0,2.05811,0.999681,0,0,0
