cycle,n_door_slices,slice_idx,npts,conf,cx,cy,range,trunc_frac,motion_var
138,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
138,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
139,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
139,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
140,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
140,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
141,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
141,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
142,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
142,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
143,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
143,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
144,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
144,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
145,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
145,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
146,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
146,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
147,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
147,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
148,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
148,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
149,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
149,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
150,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
150,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
151,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
151,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
152,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
152,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
153,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
153,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
154,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
154,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
