room,sigma,error
9,0.0241533,0.01117099816489172
9,0.0269491,0.014090031937508275
9,0.0230239,0.006657236663962149
9,0.0258613,0.01152530155787702
10,0.0393483,0.02413006837951366
10,0.037956,0.025104983569005233
10,0.0280572,0.026014855851993934
10,0.0365816,0.018799902366768033
10,0.0216074,0.028710228115429635
10,0.024769,0.023596680639658023
10,0.0239546,0.03278688152295078
10,0.0235093,0.04082877539187282
10,0.0386027,0.02765176486230109
10,0.134919,0.025186006035098348
10,0.0908686,0.0005408326913198045
10,0.0343594,0.006316723834393726
11,0.0247145,0.046504289049505765
11,0.0277218,0.04148059425803849
11,0.0462708,0.2814527291677948
11,0.0340358,0.25637405511478734
11,0.0302833,0.09147469595467375
11,0.0309273,0.09058952367685796
11,0.021992,0.05307374832249931
11,0.0235745,0.07658693136560556
12,0.460649,0.13812200295391028
12,0.548035,0.11118130508318366
12,0.0544119,0.07544127215258233
12,0.0544119,0.03478803818843462
12,0.0217494,0.25451758642577144
12,0.0223279,0.3108038939588755
13,0.0212116,0.03221766596139364
13,0.0244188,0.04520743744119984
13,0.0312063,0.03740851507344308
13,0.0398967,0.03448188074917025
13,0.0371264,0.028340735699695762
13,0.0239002,0.014899107355812022
14,1.10204,0.49287657734974594
14,0.601517,0.505861187678992
14,0.0387401,0.0365616205877149
14,0.0260291,0.11107378853717033
14,0.0233884,0.023842661344740685
14,0.0223591,0.026317562577108045
15,0.03261,0.015141785363687637
15,0.0320825,0.019275977277430648
15,0.0438102,0.015194275237733227
15,0.056194,0.08398465157396295
15,0.0443338,0.0827661555226529
15,0.0262739,0.13645875567364732
15,0.0393593,0.008428961976424598
15,0.0330822,0.00925239968872926
15,0.0261245,0.013892069680216364
15,0.0238212,0.012875404032494944
16,0.0241678,0.028573151733752432
16,0.0223615,0.031668912201084906
16,0.0560385,0.02501198034942458
16,0.046459,0.022777682586251218
16,0.0230213,0.018275396028540995
16,0.0232945,0.014984845678218381
17,0.0225218,0.00394005076109474
17,0.0240844,0.011587760784551718
17,0.0292452,0.012313220537292661
17,0.39814,0.15713373444299
17,0.641235,0.16019174760267765
17,0.0222578,0.00796900244698203
18,0.0226765,0.03506652107067324
18,0.0232089,0.01860006720417977
18,0.021935,0.012537336240206622
18,0.024219,0.02691727512212175
18,0.0430872,0.018697660843003863
18,0.0393857,0.02384877290344304
18,0.0236048,0.014440848313032125
18,0.0237736,0.018947815177481758
19,0.0222946,0.26465116209833667
19,0.0243682,0.027876961814373064
19,0.0494565,0.19315513816619018
19,0.0537135,0.1652979422134463
19,0.023676,0.013951872311629037
19,0.0219814,0.10418279072903529
20,0.0240571,0.008829631928908614
20,0.0413125,0.00763319068280115
20,0.0312452,0.005603936116695141
20,0.0251896,0.0021586338272157543
20,0.0249682,0.005989407316254242
20,0.02186,0.010225771364547607
21,0.0279644,0.1069864295132797
21,0.0236691,0.09293340034669996
21,0.0365452,0.04977763051813519
21,0.0457332,0.07257785957163483
21,0.0307375,0.06792559532311802
21,0.0245505,0.007515131402710035
21,0.0250323,0.005047900553695639
21,0.0243661,0.01418733590213485
21,0.045749,0.02913113401500189
21,0.0485265,0.054724867886181305
22,0.0278909,0.18019001748154642
22,0.0226326,0.003723895809498747
22,0.0225416,0.004766273596847193
22,0.0417791,0.0049063816606539174
22,0.0892531,0.030483059229677086
22,0.0998738,0.02909660117608251
23,0.0309636,0.007655984587236461
23,0.0465238,0.0069025850954551405
23,0.0326015,0.001538669555167714
23,0.0247784,0.007924291766460888
23,0.0249702,0.010041937064132554
23,0.0217672,0.008413518883321027
24,0.030395,0.005775205624045036
24,0.0292331,0.004240366611508908
24,0.022885,0.006076454558375325
24,0.0241244,0.007640549718443007
24,0.0238188,0.008247502652318457
24,0.0233518,0.006199258020118259
25,0.0244952,0.0073586751524986034
25,0.0236513,0.01620765251355047
25,0.0229498,0.024502124397692417
25,0.024137,0.01686075027986611
25,0.0226462,0.011361856758470682
25,0.0228956,0.015540200416982805
26,0.0236277,0.01443504762721622
26,0.0222508,0.012590853823311507
26,0.0234686,0.02524603929332266
26,0.0257245,0.01876439447464287
26,0.0231858,0.014223002495957034
26,0.0228586,0.02294297225731671
27,0.027078,0.007583587541526737
27,0.0478689,0.004465792202957826
27,0.0377229,0.0019096764123800857
27,0.023239,0.0033141552468163604
27,0.0220422,0.004804268935020203
27,0.0237299,0.007340435954355726
28,0.0230496,0.01427861019147165
28,0.0232388,0.014821109944940007
28,0.0222425,0.012597924432222948
28,0.0236173,0.012296544229985636
28,0.0263458,0.013070137719244061
28,0.0236646,0.012736234961714386
29,0.0239479,0.01984452065432662
29,0.024437,0.006309239256835938
29,0.0227097,0.0004330773602948288
29,0.0246914,0.008759660724023446
29,0.0234061,0.00813204156408479
29,0.0225009,0.01719102672908144
30,0.021881,0.007630268671547591
30,0.0353222,0.00883249115482109
30,0.184973,0.007953144032394012
30,0.104052,0.007374618634207717
30,0.0243745,0.007606115960199204
30,0.0238678,0.006832759325484734
31,0.0267105,0.009467692432689306
31,0.0234769,0.00919256221083119
31,0.0258453,0.009506555632825264
31,0.0229702,0.007908501754441041
31,0.0221225,0.005938222292908876
31,0.0264995,0.008254426751749686
32,0.0239986,0.033579901727075145
32,0.0243711,0.06241444143785941
32,0.0211647,0.059458852999364424
32,0.0263071,0.04676839317316763
32,0.0267168,0.03473164119358596
32,0.0230448,0.024535284795575454
32,0.02664,0.032115404403494544
32,0.0322773,0.00987774265710451
32,0.0685237,0.00805313603511135
32,0.0363774,0.025359432170299352
33,0.0235507,0.025368532358218572
33,0.0222729,0.010404934214592668
33,0.0308504,0.02601631730299296
33,0.0572498,0.023482988566406945
33,0.0347138,0.007270012380319587
33,0.0227031,0.024540038019734336
34,0.0224253,0.02190039497360743
34,0.0224083,0.017588430856673727
34,0.0238599,0.008083940870639652
34,0.0288507,0.013157324956084742
34,0.0410252,0.009284063819254949
34,0.0408424,0.01461969219922234
35,0.0397551,0.011358824763152128
35,0.447257,0.08827860669494061
35,0.307932,0.09256719291412052
35,0.0228954,0.024160046047141902
35,0.0238575,0.026085126029980883
35,0.0229961,0.0077073730933436505
36,0.0223401,0.006931413997157731
36,0.0355418,0.008118897708433144
36,0.0479135,0.008591885706874925
36,0.0310885,0.006565972890593178
36,0.0390186,0.005748366376632588
36,0.0339544,0.005248970946766768
36,0.0246385,0.004463462781294546
36,0.0232939,0.005787028598512146
37,0.0246182,0.003739050681656163
37,0.0234136,0.005831294881928739
37,0.415634,0.015908802594789967
