wall_ms,type,valid_ts_ms,x,y,theta,innov_norm
1789391744043,0,1789391744031,-0.429432,-0.94279,3.10234,0
1789391744095,0,1789391744086,-0.429334,-0.942762,3.1026,0
1789391744148,0,1789391744137,-0.429276,-0.942764,3.10247,0
1789391744190,0,1789391744182,-0.429224,-0.942766,3.10276,0
1789391744240,0,1789391744231,-0.429189,-0.942797,3.10278,0
1789391744290,0,1789391744280,-0.429154,-0.942827,3.10251,0
1789391744362,0,1789391744354,-0.429172,-0.942864,3.10285,0
1789391744413,0,1789391744403,-0.429215,-0.942882,3.10277,0
1789391744472,0,1789391744463,-0.429212,-0.942978,3.10327,0
1789391744526,0,1789391744516,-0.429175,-0.943109,3.10299,0
1789391744573,0,1789391744564,-0.429167,-0.94318,3.10311,0
1789391744633,0,1789391744622,-0.429182,-0.943225,3.10325,0
1789391744695,0,1789391744687,-0.429191,-0.943268,3.1033,0
1789391744754,0,1789391744745,-0.429185,-0.943287,3.10328,0
1789391744813,0,1789391744803,-0.429195,-0.943289,3.10345,0
1789391744861,0,1789391744851,-0.429278,-0.943216,3.10362,0
1789391744927,0,1789391744920,-0.429398,-0.943108,3.10405,0
1789391744988,0,1789391744979,-0.429382,-0.943076,3.10435,0
1789391745048,0,1789391745039,-0.429354,-0.943049,3.10453,0
1789391745092,0,1789391745084,-0.429382,-0.943038,3.10414,0
1789391745143,0,1789391745132,-0.429413,-0.943025,3.10416,0
1789391745189,0,1789391745180,-0.429442,-0.943034,3.10453,0
1789391745248,0,1789391745237,-0.429475,-0.943053,3.10381,0
1789391745295,0,1789391745286,-0.429504,-0.943027,3.10319,0
1789391745350,0,1789391745341,-0.42954,-0.942957,3.10321,0
1789391745419,0,1789391745410,-0.429564,-0.942867,3.10279,0
1789391745470,0,1789391745459,-0.429539,-0.942802,3.10311,0
1789391745515,0,1789391745506,-0.429527,-0.942736,3.10245,0
1789391745562,0,1789391745554,-0.429566,-0.942651,3.10206,0
1789391745610,0,1789391745602,-0.429606,-0.942566,3.10231,0
1789391745669,0,1789391745659,-0.429599,-0.942673,3.1024,0
1789391745727,0,1789391745718,-0.429589,-0.942797,3.10199,0
1789391745784,0,1789391745773,-0.429541,-0.942843,3.10237,0
1789391745834,0,1789391745825,-0.429487,-0.942871,3.10284,0
1789391745881,0,1789391745873,-0.429429,-0.942906,3.10293,0
1789391745928,0,1789391745921,-0.429369,-0.942945,3.10281,0
1789391745980,0,1789391745970,-0.42931,-0.942993,3.10299,0
1789391746029,0,1789391746019,-0.429253,-0.943049,3.10341,0
1789391746086,0,1789391746079,-0.429204,-0.943121,3.10291,0
1789391746143,0,1789391746134,-0.429204,-0.943196,3.10245,0
1789391746213,0,1789391746203,-0.429193,-0.943262,3.10262,0
1789391746271,0,1789391746262,-0.429124,-0.943154,3.10251,0
1789391746333,0,1789391746322,-0.429053,-0.943043,3.10223,0
1789391746375,0,1789391746366,-0.429056,-0.943047,3.10195,0
1789391746456,0,1789391746417,-0.438867,-0.935825,3.10752,0.0121809
1789391746481,0,1789391746471,-0.438832,-0.935865,3.10708,0
