frame,nis_pre,n,over,tour_nis_pre,tour_se,tour_n,tour_over_frac,tour_nis_acc,sigma_det,sigma_pred,sigma_model,resid_mean,resid_max,ori_mean,ori_min,line_sigma_phi_deg,line_sigma_d_m,npts,resid_sig_m,lever_m,corner_angle_deg,corners_in_fov,accepted,rej_dist
54,1.19559,12,2,1.205,0.0407909,601,0.176373,0.503192,0.126945,0.0312823,0.04,0.0362855,0.0814267,0.795662,1.31721e-07,10.4654,1.12116,270.307,0.044524,2.60079,108.853,12,8,2
55,1.29757,11,2,1.20667,0.0404226,612,0.176471,0.504931,0.127085,0.0309456,0.04,0.0375065,0.101202,0.795671,1.31721e-07,10.3067,1.10261,270.412,0.0445428,2.59919,108.886,12,8,2
56,1.35331,11,2,1.20926,0.0400642,623,0.176565,0.507351,0.127223,0.0306207,0.04,0.0389493,0.103946,0.795772,1.31721e-07,10.1537,1.08479,270.512,0.0445618,2.59799,108.91,12,8,2
57,1.16023,10,2,1.20848,0.0397464,633,0.176935,0.506451,0.125881,0.0303339,0.04,0.0342623,0.0744606,0.796241,1.31721e-07,10.0181,1.06828,270.752,0.0445713,2.59507,108.844,12,8,3
58,1.24133,10,2,1.20899,0.0394362,643,0.177294,0.506831,0.124576,0.0300579,0.04,0.0364767,0.0901503,0.796578,1.31721e-07,9.88489,1.0523,270.988,0.0445871,2.59197,108.791,12,8,3
59,1.17813,11,2,1.20847,0.0391031,654,0.17737,0.505567,0.124751,0.0297636,0.04,0.0338586,0.0698585,0.796692,1.31721e-07,9.74648,1.03611,271.078,0.0446007,2.59099,108.81,12,8,2
60,1.32306,11,2,1.21037,0.0387783,665,0.177444,0.50654,0.124914,0.0294795,0.04,0.036748,0.0971726,0.796707,1.31721e-07,9.61241,1.02041,271.156,0.0446174,2.58933,108.846,12,8,2
61,1.23748,11,2,1.21081,0.0384615,676,0.177515,0.505913,0.125072,0.0292041,0.04,0.0345008,0.0755506,0.796685,1.31721e-07,9.48437,1.00519,271.238,0.0446295,2.58777,108.877,12,8,2
62,1.27084,11,2,1.21177,0.0381524,687,0.177584,0.506634,0.125224,0.0289377,0.04,0.0367926,0.0932602,0.796724,1.31721e-07,9.35869,0.990503,271.32,0.0446465,2.58684,108.895,12,8,2
63,1.26685,11,2,1.21264,0.0378506,698,0.17765,0.507379,0.125372,0.0286791,0.04,0.0365722,0.0927795,0.796698,1.31721e-07,9.23662,0.976234,271.4,0.0446611,2.58584,108.917,12,8,2
64,1.25509,11,2,1.2133,0.0375558,709,0.177715,0.50691,0.125521,0.0284304,0.04,0.0354482,0.0759876,0.796539,1.31721e-07,9.12571,0.96228,271.473,0.0446726,2.58373,108.957,12,8,2
65,1.28682,10,2,1.21432,0.0372937,719,0.178025,0.507748,0.124362,0.028211,0.04,0.0372288,0.0937802,0.796855,1.31721e-07,9.02022,0.949486,271.674,0.0446832,2.58106,108.907,12,8,3
66,1.30203,11,2,1.21564,0.0370117,730,0.178082,0.508429,0.12452,0.0279761,0.04,0.0374009,0.0915422,0.796724,1.31721e-07,8.91121,0.936443,271.743,0.0447006,2.57936,108.944,12,8,2
67,1.19802,11,2,1.21538,0.0367359,741,0.178138,0.506801,0.124673,0.0277472,0.04,0.0337432,0.0588419,0.796699,1.31721e-07,8.8037,0.923723,271.811,0.0447061,2.57839,108.964,12,8,2
68,1.25076,11,2,1.2159,0.0364662,752,0.178191,0.505823,0.124819,0.027526,0.04,0.0345933,0.069455,0.796738,1.31721e-07,8.70056,0.911413,271.874,0.0447182,2.57692,108.99,12,8,2
69,1.28296,11,2,1.21687,0.0362024,763,0.178244,0.505564,0.124965,0.0273103,0.04,0.0358877,0.0792765,0.796568,1.31721e-07,8.60404,0.899423,271.937,0.0447379,2.57497,109.03,12,8,2
70,1.14259,10,2,1.2159,0.0359675,773,0.178525,0.50462,0.123895,0.0271211,0.04,0.0345033,0.0699657,0.796931,1.31721e-07,8.5133,0.888333,272.118,0.0447446,2.57288,108.975,12,8,3
71,1.17775,12,2,1.21532,0.0356915,785,0.178344,0.502547,0.125208,0.0269004,0.04,0.0295017,0.0613023,0.796356,1.31721e-07,8.80037,0.922778,271.846,0.0447352,2.57615,109.033,12,7,2
72,1.1833,12,2,1.21484,0.0354218,797,0.178168,0.500331,0.126426,0.0266866,0.04,0.0284801,0.0613229,0.795807,1.31721e-07,8.91845,0.937065,271.588,0.0447229,2.57884,109.095,12,7,2
73,1.17109,12,2,1.21419,0.0351581,809,0.177998,0.502374,0.12766,0.0264769,0.04,0.0356476,0.0841247,0.795216,1.31721e-07,9.15443,0.965086,271.337,0.044713,2.58106,109.163,12,8,2
74,1.24714,11,2,1.21463,0.0349215,820,0.178049,0.501821,0.127753,0.0262927,0.04,0.0347526,0.0699546,0.79535,1.31721e-07,9.05255,0.953237,271.411,0.0447196,2.58052,109.173,12,8,2
75,1.28407,11,2,1.21555,0.0346896,831,0.178099,0.502251,0.127843,0.0261137,0.04,0.036959,0.0892391,0.795463,1.31721e-07,8.95261,0.941723,271.472,0.0447289,2.57999,109.181,12,8,2
76,1.24698,11,2,1.21596,0.0344623,842,0.178147,0.502094,0.127932,0.0259392,0.04,0.0360449,0.0810741,0.795452,1.31721e-07,8.85773,0.930498,271.533,0.0447393,2.5788,109.205,12,8,2
77,1.23552,11,2,1.21621,0.0342393,853,0.178195,0.501776,0.128019,0.0257654,0.04,0.0361099,0.0720617,0.795627,1.31721e-07,8.76268,0.919553,271.594,0.0447466,2.57856,109.207,12,8,2
78,1.28743,11,2,1.21712,0.0340207,864,0.178241,0.502197,0.128101,0.0255982,0.04,0.037532,0.0865823,0.795628,1.31721e-07,8.67078,0.908862,271.653,0.0447567,2.57786,109.218,12,8,2
79,1.18314,11,2,1.21669,0.0338062,875,0.178286,0.50043,0.128183,0.0254347,0.04,0.0323701,0.0597522,0.795528,1.31721e-07,8.58164,0.8984,271.711,0.0447582,2.5768,109.229,12,8,2
80,1.26961,11,2,1.21735,0.0335957,886,0.17833,0.500167,0.128267,0.0252812,0.04,0.0368201,0.0742972,0.795398,1.31721e-07,8.49898,0.888256,271.766,0.0447684,2.57562,109.254,12,8,2
81,1.21676,11,2,1.21734,0.033389,897,0.178372,0.499243,0.128345,0.0251272,0.04,0.0348363,0.0638107,0.795424,1.31721e-07,8.41514,0.878357,271.82,0.0447751,2.57475,109.268,12,8,2
82,1.21451,11,2,1.21731,0.0331862,908,0.178414,0.498397,0.128422,0.0249787,0.04,0.036083,0.0598973,0.795571,1.31721e-07,8.33217,0.868742,271.866,0.0447801,2.57446,109.272,12,8,2
83,1.34782,11,2,1.21887,0.032987,919,0.178455,0.499161,0.128496,0.024829,0.04,0.0395648,0.0869413,0.795631,1.31721e-07,8.25076,0.859333,271.905,0.0447825,2.57416,109.274,12,8,2
84,1.50994,11,3,1.22231,0.0327913,930,0.17957,0.499649,0.128558,0.0246856,0.04,0.0388193,0.0828963,0.795603,1.31721e-07,8.56126,0.869989,271.808,0.0447956,2.57375,109.276,12,8,3
85,1.28807,11,2,1.22308,0.0325991,941,0.179596,0.499358,0.128629,0.0245447,0.04,0.0368693,0.0721697,0.79568,1.31721e-07,8.48007,0.860824,271.853,0.044805,2.57314,109.288,12,8,2
86,1.60156,11,3,1.22746,0.0324102,952,0.180672,0.500231,0.128675,0.0244077,0.04,0.0395419,0.0929838,0.795766,1.31721e-07,8.69253,0.86577,271.764,0.0448151,2.57306,109.281,12,8,3
87,1.27893,11,2,1.22804,0.0322246,963,0.180685,0.500283,0.128744,0.0242711,0.04,0.0383387,0.0761785,0.795832,1.31721e-07,8.61161,0.85685,271.814,0.0448268,2.57275,109.282,12,8,2
88,1.20493,11,2,1.22778,0.0320421,974,0.180698,0.499072,0.128808,0.0241403,0.04,0.0345683,0.0577226,0.795942,1.31721e-07,8.53193,0.84809,271.863,0.0448316,2.57285,109.272,12,8,2
89,1.23339,11,2,1.22785,0.0318627,985,0.180711,0.498193,0.128874,0.0240105,0.04,0.0357251,0.0596866,0.795968,1.31721e-07,8.45582,0.839539,271.905,0.0448394,2.57223,109.282,12,8,2
