cycle,node,pkt_fid,pkt_ts,npts,gated,energy,fe_baseline,fe_surprise,R,motion_var,depth_var,motion_dotd,trunc_frac,range,cx,cy,H,w,h,yaw,std_cx,std_cy,std_H,std_w,std_h,std_yaw,std_yaw_within,front_mode,front_conf,cue_conf,cue_bearing,wall_resp,lidar_rays,lidar_raw,lidar_bpearl,lidar_resid_m,lidar_meanz,lidar_topz,lidar_floorz,lidar_cov_ang,dyaw_points,dyaw_moment,dyaw_flip,obliquity_cos,completeness,moment_aniso,moment_r_yaw,mom_major,mom_minor,mom_phi,mom_pts,ex_L,ex_p,ex_locc,ex_lfree,ex_lfree_eff,ex_ln,ex_socc,ex_sfree,ex_sfree_eff,ex_sndet,ex_streak,ex_pdetect,ex_central,ex_verify,ex_wantsverify,omega_w,omega_yaw,tau_w,tau_yaw,roi_fill,roi_fill_h,roi_fill_v,roi_valid,det_alive,frames_since_det,nbv_standoff,nbv_tx,nbv_ty,nbv_pdetect,nbv_vfov
22,refrigerator_1,1797,1786188960579,18123,0,0.454034,0.616261,0.0183539,0.00262474,5.34288e-16,0,2.28765e-06,0,2.0765,-3.82725,-0.684186,1.95686,0.732935,0.626958,1.56996,0.0429869,0.0473313,0.0383923,0.0435534,0.051002,0.0837986,0.0777289,0,0.999639,0.952022,-0.00083919,0.00902517,952,1674,0,0.152083,0.340073,0.731561,0.133052,0.728974,0.00237334,0,0,0.383049,1,0,0,0,0,0,0,4,0.982014,491.638,100.193,168.364,660,620,10,0,630,0,0.733249,0.869841,0,0,-9.02686,-5.02578,15.7891,0.920097,0.640563,0.142017,0.640563,1,1,0,1.79187,-5.93074,-0.681045,0.584092,1.35383
23,refrigerator_1,1798,1786188960682,18118,0,0.453766,0.608136,0.0165185,0.00262469,1.24331e-15,0,3.48972e-06,0,2.07647,-3.82617,-0.681454,1.95679,0.734448,0.627269,1.56858,0.0426066,0.0469066,0.0381062,0.0433775,0.0506927,0.083366,0.0771857,0,0.999635,0.960435,-0.00221284,0.00892995,956,1675,0,0.15391,0.339515,0.731336,0.132997,0.726154,-0.00137365,0,0,0.382599,1,0,0,0,0,0,0,4,0.982014,480.816,86.8175,147.34,628,620,10,0,630,0,0.733199,0.869841,0,0,-9.07443,-5.0743,16.425,0.952392,0.640458,0.142192,0.640458,1,1,0,1.79187,-5.9326,-0.682419,0.584365,1.35383
24,refrigerator_1,1799,1786188960788,18120,0,0.455184,0.600489,0.0148667,0.00262458,6.67428e-15,0,8.08544e-06,0,2.0764,-3.82737,-0.680066,1.95673,0.73592,0.628271,1.57153,0.0422302,0.0464769,0.0378145,0.0431674,0.0503471,0.0826976,0.0766129,0,0.999643,0.958683,0.000731989,0.00896334,951,1673,0,0.152637,0.340511,0.731638,0.13301,0.729444,0.00294483,0,0,0.382486,1,0,0,0,0,0,0,4,0.982014,474.493,86.8558,151.933,626,620,10,0,630,0,0.733191,0.869841,0,0,-9.12004,-5.12075,17.0253,0.982923,0.640248,0.142392,0.640248,1,1,0,1.79187,-5.93167,-0.676795,0.584614,1.35383
25,refrigerator_1,1800,1786188960915,18124,0,0.455109,0.59322,0.01338,0.00262494,1.01543e-14,0,9.973e-06,0,2.07662,-3.82806,-0.680123,1.95668,0.736876,0.629186,1.57327,0.0418635,0.0460556,0.03752,0.0429318,0.0499777,0.0821025,0.0760658,0,0.999648,0.953566,0.00247829,0.00911909,951,1676,0,0.15232,0.340333,0.731731,0.132607,0.728807,0.0017463,0,0,0.382219,1,0,0,0,0,0,0,4,0.982014,470.084,86.3872,150.06,620,620,10,0,630,0,0.733173,0.869841,0,0,-9.16432,-5.1654,17.6023,1.01317,0.640345,0.142573,0.640345,1,1,0,1.79187,-5.93338,-0.681608,0.584857,1.35383
26,refrigerator_1,1801,1786188961011,18122,0,0.45241,0.586179,0.012042,0.00262484,1.36136e-15,0,3.65164e-06,0,2.07656,-3.82518,-0.678663,1.95664,0.738074,0.628646,1.56946,0.0415144,0.045647,0.0372244,0.0426763,0.0495934,0.0818537,0.0755251,0,0.999634,0.960657,-0.0013382,0.00910255,954,1675,0,0.153714,0.339445,0.731637,0.132545,0.725278,-0.00381649,0,0,0.38213,1,0,0,0,0,0,0,4,0.982014,471.503,86.2203,150.366,622,620,10,0,630,0,0.734517,0.871429,0,0,-9.20667,-5.20826,18.146,1.04256,0.640734,0.142738,0.640734,1,1,0,1.79187,-5.93453,-0.685343,0.585015,1.35383
27,refrigerator_1,1803,1786188961176,18121,0,0.453041,0.579522,0.0108378,0.00262468,2.64061e-15,0,5.08574e-06,0,2.07646,-3.82679,-0.678343,1.9566,0.7392,0.629542,1.57208,0.0411786,0.0452534,0.0369292,0.0424066,0.0492001,0.0811749,0.074973,0,0.999643,0.958375,0.00127952,0.00901814,951,1672,0,0.153022,0.340057,0.731682,0.132669,0.727834,0.00261772,0,0,0.382328,1,0,0,0,0,0,0,4,0.982014,472.71,105.108,175.318,648,620,10,0,630,0,0.73321,0.869841,0,0,-9.24753,-5.2496,18.6646,1.07074,0.640556,0.142889,0.640556,1,1,0,1.79187,-5.93137,-0.675845,0.585212,1.35383
28,refrigerator_1,1803,1786188961176,0,1,0.453041,0.579522,0.0108378,0.00262468,2.64061e-15,0,5.08574e-06,0,2.07646,-3.82679,-0.678343,1.9566,0.7392,0.629542,1.57208,0.0516831,0.0541855,0.037534,0.0435069,0.0509867,0.10835,0.103785,0,0.999643,0.958375,0.00127952,0.00901814,951,1672,0,0.153022,0.340057,0.731682,0.132669,0.727834,0.00261772,0,0,0.382328,1,0,0,0,0,0,0,4,0.982014,482.975,86.4004,138.929,622,620,10,0,630,0,0.733195,0.869841,0,0,-9.24753,-5.2496,19.6457,2.05183,0.640556,0.142889,0.640556,1,1,1,1.79187,-5.93343,-0.681039,0.585358,1.35383
29,refrigerator_1,1804,1786188961336,18121,0,0.450535,0.573073,0.00975403,0.00262468,2.12354e-14,0,1.44222e-05,0,2.07646,-3.82367,-0.677492,1.95656,0.740187,0.62883,1.56876,0.044713,0.048894,0.0371878,0.0430971,0.0503064,0.0874617,0.0814478,0,0.999627,0.961446,-0.00203927,0.00906019,953,1674,0,0.152653,0.340825,0.731806,0.132805,0.72842,-0.00331879,0,0,0.382107,1,0,0,0,0,0,0,4,0.982014,482.975,86.4004,138.929,622,620,10,0,630,0,0.733195,0.869841,0,0,-9.28705,-5.28947,20.0545,1.31506,0.641103,0.143049,0.641103,1,1,0,1.79187,-5.93343,-0.681039,0.585358,1.35383
30,refrigerator_1,1805,1786188961436,18121,0,0.451571,0.566998,0.00877862,0.0026247,2.46055e-14,0,1.55245e-05,0,2.07648,-3.82595,-0.677552,1.95652,0.741197,0.62974,1.57203,0.0420414,0.04639,0.03685,0.042698,0.0496756,0.0819927,0.0757937,0,0.99964,0.958038,0.00123636,0.00899269,958,1675,0,0.154655,0.340301,0.732885,0.133046,0.728941,0.00327563,0,0,0.382381,1,0,0,0,0,0,0,4,0.982014,479.914,104.776,177.01,657,620,10,0,630,0,0.733238,0.869841,0,0,-9.32521,-5.32799,20.4504,1.18354,0.640833,0.14317,0.640833,1,1,0,1.79187,-1.71738,-0.681787,0.585543,1.35383
31,refrigerator_1,1806,1786188961537,18120,0,0.450219,0.561159,0.00790076,0.00262464,1.6342e-14,0,1.26518e-05,0,2.07644,-3.82474,-0.677044,1.95649,0.742061,0.629519,1.5696,0.0408417,0.0450587,0.0365203,0.0423097,0.0490875,0.0804335,0.0739861,0,0.999634,0.958789,-0.00119622,0.00899462,955,1677,0,0.152989,0.340096,0.731256,0.133183,0.729877,-0.00243258,0,0,0.382116,1,0,0,0,0,0,0,4,0.982014,476.326,104.676,177.438,654,620,10,0,630,0,0.733215,0.869841,0,0,-9.36223,-5.36529,20.8375,1.17062,0.641008,0.143276,0.641008,1,1,0,1.79187,-5.93269,-0.680157,0.585717,1.35383
