# frame;ts_ms;est_x,est_y,est_th;verts;corner_sigma;edge_sigma_d;closed,publishable
98;1789213396724;0.00557502,-0.00666493,0.00297254;-2.61098,-2.06617 3.37156,-1.68254 3.11486,2.32358 -2.86798,1.94177;0.87416 0.988663 0.988559 0.874297;0.5 0.5 0.5 0.5;1,0
99;1789213396780;0.00562802,-0.00674175,0.00349662;-2.61095,-2.06573 3.37106,-1.68155 3.11432,2.32413 -2.8683,1.94097;0.874186 0.988524 0.988555 0.874273;0.5 0.5 0.5 0.5;1,0
100;1789213396833;0.00569974,-0.00682226,0.00309076;-2.61072,-2.06687 3.37096,-1.68268 3.11429,2.32401 -2.86808,1.941;0.874157 0.988483 0.988534 0.874236;0.5 0.5 0.5 0.5;1,0
101;1789213396878;0.00574754,-0.0068625,0.00285224;-2.61125,-2.0658 3.3705,-1.68388 3.11515,2.32292 -2.86766,1.94166;0.8741 0.988524 0.988573 0.874272;0.5 0.5 0.5 0.5;1,0
102;1789213396925;0.00579837,-0.00691885,0.00238401;-2.61181,-2.06548 3.37069,-1.68315 3.11548,2.32234 -2.86757,1.94184;0.87424 0.98855 0.988576 0.87431;0.5 0.5 0.5 0.5;1,0
103;1789213396977;0.00585698,-0.00699287,0.00246144;-2.61147,-2.0663 3.37063,-1.68448 3.11503,2.32295 -2.86751,1.94161;0.874147 0.988553 0.988554 0.874233;0.5 0.5 0.5 0.5;1,0
104;1789213397032;0.00592051,-0.00705367,0.00270867;-2.61097,-2.06615 3.37084,-1.68303 3.11478,2.32324 -2.8674,1.9422;0.874126 0.988526 0.988478 0.874223;0.5 0.5 0.5 0.5;1,0
105;1789213397085;0.00597504,-0.00714961,0.00216902;-2.61149,-2.06622 3.3703,-1.68424 3.11545,2.32264 -2.86713,1.94276;0.874161 0.988469 0.988528 0.874247;0.5 0.5 0.5 0.5;1,0
106;1789213397129;0.0060271,-0.00719698,0.00266838;-2.61101,-2.06628 3.37061,-1.68437 3.11469,2.32247 -2.86757,1.94117;0.874055 0.98854 0.988469 0.874254;0.5 0.5 0.5 0.5;1,0
107;1789213397177;0.00608425,-0.00723883,0.00227541;-2.61138,-2.06569 3.37033,-1.6837 3.11546,2.32202 -2.86719,1.94265;0.874131 0.988482 0.988481 0.8743;0.5 0.5 0.5 0.5;1,0
108;1789213397231;0.00614132,-0.00733514,0.00180831;-2.61136,-2.06504 3.37061,-1.68324 3.11525,2.32221 -2.86709,1.94185;0.874104 0.988567 0.988516 0.874213;0.5 0.5 0.5 0.5;1,0
109;1789213397287;0.00620265,-0.00741306,0.00230256;-2.61163,-2.06556 3.37046,-1.6851 3.11557,2.32205 -2.86688,1.94259;0.874077 0.988603 0.988512 0.874227;0.5 0.5 0.5 0.5;1,0
