# frame;ts_ms;est_x,est_y,est_th;verts;corner_sigma;edge_sigma_d;closed,publishable
36;1789213052200;-0.000797845,-0.00333323,0.00208422;-10,-2.53053 3.36912,-1.6595 3.12927,2.01967 10,2.01967 10,2.77494 -2.85994,1.93728 -2.85994,10 -3.39826,10 -2.61782,-1.95984 -10,-1.95984;0.831999 0.0216966 0.680394 1.88477 0.884009 0.71399 2.66539 1.02291 0.850388 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
37;1789213052257;-0.00082293,-0.00343848,0.00172228;-10,-2.52753 3.36953,-1.66121 3.13047,2.01967 10,2.01967 10,2.77313 -2.85994,1.93824 -2.85994,10 -3.396,10 -2.62096,-1.95984 -10,-1.95984;0.831351 0.0216975 0.680573 1.88477 0.883606 0.714159 2.66539 1.02236 0.85103 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
38;1789213052306;-0.000844754,-0.0035298,0.00103127;-10,-2.52157 3.36801,-1.66386 3.13168,2.01967 10,2.01967 10,2.76523 -2.85994,1.93942 -2.85994,10 -3.38881,10 -2.62121,-1.95984 -10,-1.95984;0.830071 0.021697 0.680731 1.88477 0.88186 0.714347 2.66539 1.02068 0.851049 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
39;1789213052355;-0.000866647,-0.00362112,0.000176323;-10,-2.51976 3.36635,-1.66413 3.13071,2.01967 10,2.01967 10,2.76218 -2.85994,1.93935 -2.85994,10 -3.38606,10 -2.6208,-1.95984 -10,-1.95984;0.829686 0.0216958 0.680568 1.88477 0.881189 0.714325 2.66539 1.02004 0.85095 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
40;1789213052401;-0.000887162,-0.00370646,-9.51503e-05;-10,-2.50723 3.36483,-1.66865 3.13333,2.01967 10,2.01967 10,2.75055 -2.85994,1.94381 -2.85994,10 -3.37522,10 -2.62401,-1.95984 -10,-1.95984;0.827002 0.0216963 0.680931 1.88477 0.878613 0.715101 2.66539 1.01748 0.851568 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
41;1789213052455;-0.000911494,-0.00380769,7.48254e-05;-10,-2.51879 3.36746,-1.66615 3.13227,2.01967 10,2.01967 10,2.76173 -2.85994,1.94223 -2.85994,10 -3.38584,10 -2.62267,-1.95984 -10,-1.95984;0.82947 0.021697 0.680808 1.88477 0.881077 0.714852 2.66539 1.01997 0.851337 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
42;1789213052508;-0.000935339,-0.00390693,0.000314119;-10,-2.51614 3.36503,-1.66492 3.13114,2.01967 10,2.01967 10,2.75659 -2.85994,1.9413 -2.85994,10 -3.3811,10 -2.62103,-1.95984 -10,-1.95984;0.828912 0.0216951 0.680615 1.88477 0.87995 0.714661 2.66539 1.01887 0.850977 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
43;1789213052562;-0.00095965,-0.00400816,6.98812e-05;-10,-2.51375 3.36538,-1.66763 3.13195,2.01967 10,2.01967 10,2.75594 -2.85994,1.9428 -2.85994,10 -3.38005,10 -2.6226,-1.95984 -10,-1.95984;0.828392 0.0216959 0.680735 1.88477 0.879801 0.714935 2.66539 1.01862 0.851296 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
44;1789213052604;-0.000978746,-0.00408755,-0.000318941;-10,-2.51217 3.36602,-1.66742 3.13349,2.01967 10,2.01967 10,2.7532 -2.85994,1.9423 -2.85994,10 -3.3785,10 -2.62371,-1.95984 -10,-1.95984;0.828056 0.0216967 0.68097 1.88477 0.879201 0.714833 2.66539 1.01825 0.85152 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
45;1789213052654;-0.00100119,-0.00418083,-5.30694e-06;-10,-2.51465 3.36583,-1.66705 3.13194,2.01967 10,2.01967 10,2.75567 -2.85994,1.94079 -2.85994,10 -3.38209,10 -2.62329,-1.95984 -10,-1.95984;0.828585 0.0216962 0.68074 1.88477 0.879751 0.714565 2.66539 1.01909 0.85145 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
46;1789213052702;-0.00102262,-0.00427015,0.000847873;-10,-2.52164 3.36677,-1.6661 3.13047,2.01967 10,2.01967 10,2.7635 -2.85994,1.93972 -2.85994,10 -3.38581,10 -2.62036,-1.95984 -10,-1.95984;0.830077 0.0216961 0.680537 1.88477 0.881477 0.714397 2.66539 1.01998 0.850859 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
47;1789213052769;-0.00105256,-0.00439522,0.00106855;-10,-2.52018 3.36716,-1.66427 3.13124,2.01967 10,2.01967 10,2.76233 -2.85994,1.93929 -2.85994,10 -3.3871,10 -2.6213,-1.95984 -10,-1.95984;0.829774 0.0216965 0.680655 1.88477 0.881222 0.714314 2.66539 1.02027 0.851059 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
48;1789213052821;-0.00107585,-0.0044925,0.000826617;-10,-2.51621 3.36646,-1.66735 3.13218,2.01967 10,2.01967 10,2.75707 -2.85994,1.9398 -2.85994,10 -3.383,10 -2.62275,-1.95984 -10,-1.95984;0.828917 0.0216966 0.680783 1.88477 0.880063 0.714389 2.66539 1.01931 0.851342 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
49;1789213052877;-0.00110053,-0.00459573,0.00165385;-10,-2.53359 3.36893,-1.66166 3.1289,2.01967 10,2.01967 10,2.7746 -2.85994,1.93531 -2.85994,10 -3.3983,10 -2.6186,-1.95984 -10,-1.95984;0.832643 0.0216962 0.680336 1.88477 0.883942 0.713628 2.66539 1.02291 0.850551 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
