t_ms,node,yaw,hi,sdf0,sdf90,sdf180,sdf270,best_deg
466781305,chair_1,14.1831,5644,0.123138,0.12157,0.346702,0.347862,90
466781404,chair_1,14.1831,5304,0.111639,0.110405,0.342866,0.343102,90
466781606,chair_1,14.1831,4061,0.0904939,0.096978,0.302929,0.305912,0
466783207,chair_1,14.1831,6088,0.269471,0.272384,0.408313,0.417077,0
466783316,chair_1,14.1814,6825,0.287574,0.289399,0.425634,0.434401,0
466783405,chair_1,14.1749,8148,0.30906,0.309465,0.446297,0.454977,0
466784006,chair_1,14.1749,14651,0.17332,0.164711,0.362385,0.360635,90
466784104,chair_1,14.1675,11530,0.160095,0.154313,0.350699,0.34791,90
466784305,chair_1,14.1675,9852,0.121274,0.128596,0.329199,0.32008,0
466784403,chair_1,14.1675,8193,0.100522,0.121681,0.31932,0.303133,0
466784506,chair_1,14.1712,7342,0.138483,0.139887,0.337083,0.332841,0
466784603,chair_1,14.1712,6849,0.113622,0.128581,0.324564,0.313532,0
466784704,chair_1,14.1714,6367,0.135842,0.137212,0.334435,0.33328,0
466784805,chair_1,14.1714,6059,0.110461,0.128689,0.322075,0.313861,0
466784906,chair_1,14.1714,5749,0.138735,0.141282,0.336459,0.335799,0
466785104,chair_1,14.1714,5464,0.12299,0.131944,0.328059,0.324458,0
466785205,chair_1,14.1714,4569,0.119404,0.132735,0.322646,0.323955,0
466785305,chair_1,14.1714,4991,0.139338,0.145347,0.337023,0.337195,0
466785405,chair_1,14.1714,4867,0.106701,0.131363,0.319975,0.311812,0
466785505,chair_1,14.1714,4767,0.142825,0.146389,0.338722,0.340374,0
466785608,chair_1,14.1714,4665,0.155931,0.153067,0.344495,0.349293,90
466785707,chair_1,14.1714,4709,0.130508,0.1375,0.329685,0.330051,0
466785805,chair_1,14.1714,4615,0.100786,0.121591,0.316172,0.310292,0
466785909,chair_1,14.1714,4325,0.148885,0.138149,0.332748,0.341988,90
466786009,chair_1,14.1714,4673,0.171124,0.16545,0.350668,0.358845,90
466786205,chair_1,14.1723,4715,0.0911102,0.117241,0.310737,0.303014,0
466786304,chair_1,14.1723,4842,0.127802,0.13259,0.326281,0.329126,0
466786405,chair_1,14.1723,4899,0.136125,0.132954,0.323929,0.327269,90
466786503,chair_1,14.1745,5110,0.159774,0.154213,0.338008,0.344752,90
466786705,chair_1,14.1778,5279,0.11245,0.118476,0.312818,0.31023,0
466786804,chair_1,14.1778,5575,0.1362,0.135762,0.326482,0.328635,90
466786905,chair_1,14.1807,5728,0.109833,0.120185,0.313131,0.309179,0
466787004,chair_1,14.182,5886,0.119558,0.122339,0.315715,0.315162,0
466787205,chair_1,14.1883,5807,0.108639,0.11941,0.31163,0.306253,0
466787304,chair_1,14.19,5944,0.103064,0.116485,0.308581,0.301801,0
466787403,chair_1,14.19,5793,0.106065,0.118059,0.308287,0.301864,0
466787604,chair_1,14.19,5780,0.106416,0.117817,0.30705,0.300638,0
466787703,chair_1,14.19,5468,0.0852221,0.10951,0.29771,0.283778,0
466787803,chair_1,14.19,4938,0.0770811,0.118559,0.291748,0.269041,0
466787904,chair_1,14.19,4777,0.0893033,0.119455,0.296039,0.28306,0
466788003,chair_1,14.19,4959,0.0580887,0.115058,0.286862,0.248263,0
466788107,chair_1,14.19,4943,0.0662512,0.117285,0.2903,0.256202,0
466788206,chair_1,14.19,4981,0.0589273,0.12433,0.289363,0.241349,0
466788408,chair_1,14.19,5107,0.0650773,0.135624,0.291254,0.236985,0
466788506,chair_1,14.19,5013,0.0779646,0.120456,0.291555,0.263276,0
466788704,chair_1,14.19,5074,0.0808993,0.121765,0.29492,0.269888,0
466788804,chair_1,14.19,5397,0.0568809,0.127056,0.28833,0.235927,0
466788902,chair_1,14.2047,5596,0.0909075,0.118848,0.300516,0.279538,0
466789005,chair_1,14.2047,5886,0.0739718,0.124043,0.294737,0.257024,0
466789203,chair_1,14.2047,6162,0.0896956,0.118824,0.301185,0.277591,0
466789303,chair_1,14.2047,6891,0.0881325,0.115678,0.299973,0.276143,0
466789407,chair_1,14.2047,7388,0.0725151,0.121902,0.293733,0.25439,0
466789604,chair_1,14.2047,7942,0.0901642,0.115909,0.30104,0.277874,0
466789704,chair_1,14.2047,8629,0.0732328,0.120558,0.293634,0.254993,0
466789803,chair_1,14.2047,9830,0.0827817,0.114894,0.297859,0.267622,0
466790006,chair_1,14.2047,10794,0.103681,0.15474,0.315221,0.268916,0
466790805,chair_1,14.2047,9023,0.154671,0.164869,0.339612,0.352608,0
466790907,chair_1,14.217,8199,0.139055,0.150258,0.327381,0.339928,0
466809005,chair_1,14.2202,5848,2.50135,2.50568,2.5722,2.5764,0
466809105,chair_1,14.2203,6761,2.35476,2.35493,2.42926,2.42942,0
466809206,chair_1,14.2194,6837,2.42284,2.42528,2.49572,2.49822,0
466809405,chair_1,14.2189,5042,2.3324,2.33173,2.40755,2.40706,90
466809503,chair_1,14.2192,595,0.45767,0.48575,0.516528,0.567896,0
466809604,chair_1,14.2218,463,0.285299,0.31996,0.401877,0.434552,0
466809705,chair_1,14.2218,430,0.449284,0.479129,0.512143,0.56456,0
466809805,chair_1,14.2218,386,0.27947,0.317338,0.404311,0.431819,0
466809904,chair_1,14.2218,302,0.596055,0.627832,0.639341,0.689398,0
466810003,chair_1,14.2218,280,0.275321,0.313607,0.398721,0.425943,0
466810103,chair_1,14.2218,265,0.436003,0.472786,0.514736,0.55356,0
466810204,chair_1,14.2218,154,0.333128,0.370198,0.440882,0.475583,0
466810305,chair_1,14.2218,203,0.601955,0.632404,0.638988,0.690109,0
466810406,chair_1,14.2218,80,0.338962,0.376061,0.437845,0.471906,0
466810504,chair_1,14.2218,91,0.601821,0.633804,0.642651,0.705897,0
466810604,chair_1,14.2218,51,0.180676,0.220008,0.377134,0.396855,0
466810704,chair_1,14.2218,47,0.498616,0.535021,0.567535,0.620553,0
466810803,chair_1,14.2218,60,0.180811,0.221574,0.346921,0.369269,0
466810903,chair_1,14.2218,38,0.518537,0.552159,0.562613,0.609135,0
466811005,chair_1,14.2218,45,0.731041,0.753322,0.74103,0.808138,0
466811102,chair_1,14.2218,39,0.277668,0.317805,0.403356,0.434505,0
466811307,chair_1,14.2218,39,0.122615,0.157454,0.314881,0.331425,0
466811405,chair_1,14.2218,42,0.221091,0.261973,0.375659,0.401757,0
466811606,chair_1,14.2218,37,0.0943947,0.117669,0.308582,0.317683,0
466811804,chair_1,14.2218,44,0.193207,0.228463,0.358388,0.378629,0
466811912,chair_1,14.2218,16,0.262274,0.296829,0.357477,0.383753,0
466812103,chair_1,14.2218,27,0.239147,0.277451,0.422012,0.444269,0
466812204,chair_1,14.2218,40,0.408743,0.449624,0.500176,0.534256,0
466812304,chair_1,14.2218,47,0.638652,0.676787,0.689892,0.738222,0
466812506,chair_1,14.2218,16,0.468054,0.511924,0.514063,0.554128,0
466812602,chair_1,14.2218,41,0.276982,0.306571,0.384241,0.406213,0
466812703,chair_1,14.2218,43,0.399073,0.439645,0.513392,0.545366,0
466812804,chair_1,14.2218,46,0.2316,0.238324,0.393198,0.399755,0
466812904,chair_1,14.2218,28,0.246479,0.270763,0.325896,0.344801,0
466813007,chair_1,14.2218,39,0.2278,0.214049,0.391982,0.38575,90
466813102,chair_1,14.2218,38,0.28277,0.298256,0.420119,0.431458,0
466813206,chair_1,14.2218,93,0.346663,0.380363,0.451448,0.478014,0
466813303,chair_1,14.2391,132,0.449195,0.491895,0.53799,0.573903,0
466813603,chair_1,14.2391,210,0.239863,0.225807,0.370147,0.36369,90
466813708,chair_1,14.2391,219,0.284836,0.279714,0.406172,0.404641,90
466813803,chair_1,14.2391,259,0.364605,0.36368,0.466303,0.466639,90
466813906,chair_1,14.2391,263,0.286626,0.26808,0.41368,0.401707,90
466814104,chair_1,14.2391,296,0.304273,0.287182,0.426304,0.415496,90
466814203,chair_1,14.2391,266,0.220069,0.192521,0.370641,0.350454,90
466814304,chair_1,14.2391,303,0.272447,0.252903,0.400975,0.388476,90
466814404,chair_1,14.2391,339,0.233057,0.213509,0.373156,0.358593,90
466814503,chair_1,14.2391,346,0.284977,0.268576,0.410016,0.400259,90
466814605,chair_1,14.2391,337,0.327158,0.314252,0.43966,0.431353,90
466814705,chair_1,14.2391,409,0.297258,0.32048,0.423899,0.44157,0
466814807,chair_1,14.2391,451,0.471958,0.511129,0.562466,0.595572,0
466814904,chair_1,14.2391,498,0.263576,0.274678,0.404587,0.414609,0
466815004,chair_1,14.2391,519,0.346786,0.36131,0.461164,0.473308,0
466815105,chair_1,14.2391,553,0.242613,0.217231,0.385169,0.359247,90
466815204,chair_1,14.2391,564,0.288017,0.260383,0.415766,0.390884,90
466815305,chair_1,14.2391,576,0.336243,0.304946,0.448698,0.419092,90
466815410,chair_1,14.2391,565,0.272819,0.244597,0.400562,0.354116,90
466815504,chair_1,14.2391,552,0.318742,0.289303,0.434532,0.380727,90
466815607,chair_1,14.2409,569,0.272218,0.246723,0.405021,0.350035,90
466815704,chair_1,14.2409,547,0.330337,0.302443,0.443003,0.38102,90
466815809,chair_1,14.2423,553,0.227109,0.203031,0.373224,0.329832,90
466815911,chair_1,14.2369,582,0.317889,0.283928,0.437234,0.386967,90
466816003,chair_1,14.2369,592,0.275475,0.239456,0.399544,0.363046,90
466816102,chair_1,14.2369,649,0.222137,0.199791,0.372741,0.356793,90
466816203,chair_1,14.2369,652,0.257292,0.230599,0.392114,0.369975,90
466816307,chair_1,14.2295,677,0.282935,0.242077,0.399963,0.379103,90
466816406,chair_1,14.2295,668,0.166487,0.145496,0.338014,0.311518,90
466816504,chair_1,14.2295,678,0.195658,0.168373,0.35679,0.323617,90
466816602,chair_1,14.2295,694,0.176952,0.151877,0.352858,0.320377,90
466816704,chair_1,14.1712,699,0.196464,0.162652,0.360546,0.331202,90
466816808,chair_1,15.742,702,0.220275,0.367318,0.397575,0.185434,270
466816904,chair_1,20.4544,849,0.208028,0.226778,0.374419,0.398142,0
466817006,chair_1,20.4422,881,0.164214,0.138624,0.338911,0.33152,90
466817104,chair_1,22.013,901,0.152226,0.354612,0.334491,0.187585,0
466817204,chair_1,22.013,842,0.114752,0.331073,0.304904,0.128942,0
466817304,chair_1,22.0295,835,0.123784,0.334427,0.287344,0.146124,0
466817403,chair_1,22.0295,804,0.115753,0.330479,0.309415,0.124105,0
466817505,chair_1,22.0295,768,0.123413,0.336476,0.282467,0.141485,0
466817605,chair_1,22.0295,725,0.146866,0.343489,0.248683,0.161199,0
466817704,chair_1,22.0295,696,0.10589,0.329444,0.297065,0.110432,0
466817803,chair_1,22.0295,685,0.120568,0.337851,0.274418,0.137011,0
466817910,chair_1,22.0567,689,0.125337,0.34091,0.320109,0.149055,0
466818003,chair_1,22.0567,700,0.141307,0.35941,0.323295,0.174119,0
466818103,chair_1,22.0567,716,0.126507,0.344673,0.337284,0.132823,0
466818203,chair_1,22.0643,702,0.134874,0.345188,0.32632,0.165505,0
466818304,chair_1,22.0643,716,0.12522,0.341202,0.327572,0.146774,0
466818405,chair_1,22.0643,701,0.142547,0.354087,0.323526,0.179538,0
466818503,chair_1,22.0643,729,0.121005,0.332789,0.316055,0.145048,0
466818604,chair_1,22.0632,763,0.140573,0.342544,0.312786,0.175864,0
466818704,chair_1,22.0632,744,0.109901,0.320158,0.318554,0.0878028,270
466818804,chair_1,26.7756,723,0.0919868,0.0959518,0.320347,0.290143,0
466818904,chair_1,26.7756,762,0.140414,0.1638,0.342666,0.363719,0
