cycle,node,fresh,fe,warm_conf,settle_maturity,frames_converged,pts,silres,mask_conf,mask_w,state_cx,state_cy,state_cz,state_yaw,state_seat_w,state_seat_d,state_seat_h,state_back_h,obs_cx,obs_cy,obs_cz,obs_yaw,obs_seat_w,obs_seat_d,obs_seat_h,obs_back_h,acc_cx,acc_cy,acc_cz,acc_yaw,acc_seat_w,acc_seat_d,acc_seat_h,acc_back_h,raw_cx,raw_cy,raw_cz,raw_yaw,raw_seat_w,raw_seat_d,raw_seat_h,raw_back_h,std_cx,std_cy,std_cz,std_yaw,std_seat_w,std_seat_d,std_seat_h,std_back_h,gain_cx,gain_cy,gain_cz,gain_yaw,gain_seat_w,gain_seat_d,gain_seat_h,gain_back_h,ext_hw02,ext_hh02,ext_hw05,ext_hh05,ext_hw10,ext_hh10,ext_offx,ext_offy,n_top,n_leg,n_pts,ce_cx,ce_cy,ce_cz,ce_yaw,ce_seat_w,ce_seat_d,ce_seat_h,ce_back_h,ceg_cx,ceg_cy,ceg_cz,ceg_yaw,ceg_seat_w,ceg_seat_d,ceg_seat_h,ceg_back_h
9004,chair_2,1,0.921487,0.390671,6878,30,281,0,0.911621,1,-0.299267,0.924334,0,3.16646,0.414152,0.429164,0.451628,0.49392,17683.4,12869.5,2622.8,194.525,8706.61,10816.1,2400.55,0,35.8539,52.1321,4.30738,21.8953,25.4912,53.926,3.82241,11.8593,36868.6,30018.4,11638.4,1505.19,23516.2,26899.7,11073.5,1061.69,5.208,5.77173,9.26945,25.7754,6.52104,6.09714,9.50294,30.6903,0.0481791,0.0304197,0.108164,0.0198074,0.0504071,0.0277637,0.110526,0,0.272722,0.255868,0.23327,0.237041,0.192965,0.21116,0.0449007,-0.142286,143,179,322,-0.350303,0.350303,-2.8026e-45,-2.8026e-45,-2.8026e-45,2.8026e-45,-2.8026e-45,2.8026e-45,0,0,0,0,0,0,0,0
8576,chair_3,1,0.388998,0.499977,570,16,412,0,0.457031,0.734056,-1.63036,-0.106349,0,55.013,0.426074,0.425312,0.484368,0.474648,36534.7,43450.4,218269,2394.78,12484.5,9927.69,218034,111.47,68.4619,46.8235,38.7579,20.0076,20.8249,37.6165,38.6057,2.44237,61350.5,60735,238506,6243.93,24340.1,27748,238235,1473.23,4.0373,4.05771,2.04762,12.6553,6.40971,6.00322,2.04879,26.0534,0,0.0566085,0.0866774,0.0638016,0.0829995,0,0.0869976,0.0472199,0.228792,0.224226,0.214635,0.205121,0.196349,0.183434,0.0171932,0.0527658,453,338,791,1.70573,-0.0179768,-0.000313344,-0.00873644,0.322268,-0.0498801,-0.000133333,0.0081287,-1,0,0,0,0,-1,0,0
9005,chair_2,1,0.9214,0.390667,6879,30,281,0,0.911621,1,-0.299267,0.924334,0,3.16646,0.414152,0.429164,0.451628,0.49392,17683.4,12869.5,2622.8,194.524,8706.61,10816.1,2400.55,0,35.8867,51.8923,4.28105,21.6941,25.6015,53.9218,3.79953,11.7407,36868.6,30018.4,11638.1,1502.79,23516.2,26899.7,11073.1,1034.24,5.208,5.77173,9.26956,25.7959,6.52104,6.09714,9.50309,31.0949,0.048139,0.0305509,0.108512,0.0199946,0.0502168,0.0277658,0.110856,0,0.272722,0.255868,0.23327,0.237041,0.192965,0.211161,0.0449007,-0.142286,143,179,322,-0.280242,0.280242,-2.8026e-45,-2.8026e-45,-2.8026e-45,2.8026e-45,-2.8026e-45,2.8026e-45,0,0,0,0,0,0,0,0
8577,chair_3,1,0.392107,0.46615,571,17,412,0,0.457031,0.734056,-1.63036,-0.106138,0,55.0125,0.426033,0.424548,0.484324,0.474838,38655.3,43032.7,13534.3,1760.76,10501,10871.7,13304.3,84.8258,68.4582,47.0858,38.4266,19.9269,20.8798,37.6052,38.275,2.46132,62868.5,67149.4,47789.4,5604.61,25633.2,27254.7,47553.7,1505.72,3.98826,3.85904,4.5744,13.3576,6.24596,6.0573,4.58572,25.7708,0,0.0504373,0.0264941,0.0523439,0.0660088,0.0383396,0.0262663,0.0349783,0.228719,0.224328,0.214633,0.205138,0.196308,0.183444,0.0173992,0.0527078,453,338,791,2.43979,-0.0143814,-0.000250676,-0.00698915,0.257815,-0.0399041,-0.000106667,0.00650296,-1,0,0,0,0,0,0,0
9006,chair_2,1,0.921315,0.390664,6880,30,281,0,0.911621,1,-0.299267,0.924334,0,3.16646,0.414152,0.429164,0.451628,0.49392,17683.4,12869.5,2622.8,194.524,8706.61,10816.1,2400.54,0,35.9191,51.655,4.25499,21.4948,25.7106,53.9176,3.77689,11.6233,36868.6,30018.4,11637.9,1500.98,23516.2,26899.7,11072.9,1008.17,5.208,5.77173,9.26963,25.8114,6.52104,6.09714,9.50318,31.4944,0.0480994,0.0306819,0.108859,0.0201755,0.0500298,0.0277678,0.111183,0,0.272722,0.255868,0.23327,0.237041,0.192965,0.211161,0.0449007,-0.142286,143,179,322,-0.224194,0.224194,-2.8026e-45,-2.8026e-45,-2.8026e-45,2.8026e-45,-2.8026e-45,2.8026e-45,0,0,0,0,0,0,0,0
8578,chair_3,1,0.396754,0.325636,572,18,412,0,0.457031,0.734056,-1.63036,-0.106138,0,55.0128,0.426033,0.424767,0.483889,0.474838,34381.7,9802.33,8654.63,1020.72,1993.54,8607.46,8494.84,442.677,68.3794,46.7814,38.0784,19.7968,20.721,37.5179,37.9276,2.66306,58827.8,34869.9,30429.2,4612.36,17615.6,24817.3,30220.3,1893.77,4.12295,5.35519,5.73264,14.7244,7.53444,6.34779,5.75242,22.9793,0,0,0.0268151,0.0369962,0,0.0333452,0.026597,0,0.228774,0.224211,0.214629,0.205126,0.196337,0.183437,0.0173992,0.0527889,453,338,791,3.17384,-0.748438,-0.00020054,-0.00559132,0.991871,-0.0319233,-8.53333e-05,-0.179854,-1,-1,0,0,-1,0,0,-1
9007,chair_2,1,0.921232,0.390663,6881,30,281,0,0.911621,1,-0.299267,0.924334,0,3.16646,0.414152,0.429164,0.451628,0.49392,17683.4,12869.5,2622.79,194.524,8706.61,10816.1,2400.54,0,35.9513,51.42,4.22918,21.2975,25.8186,53.9135,3.75446,11.5071,36868.6,30018.4,11637.8,1499.62,23516.2,26899.7,11072.8,983.386,5.208,5.77173,9.26967,25.8232,6.52104,6.09714,9.50324,31.8888,0.0480603,0.0308128,0.109203,0.0203518,0.0498461,0.0277698,0.111508,0,0.272722,0.255868,0.23327,0.237041,0.192965,0.211161,0.0449007,-0.142286,143,179,322,-0.179355,0.179355,-2.8026e-45,-2.8026e-45,-2.8026e-45,2.8026e-45,-2.8026e-45,2.8026e-45,0,0,0,0,0,0,0,0
8579,chair_3,1,0.393214,0.423724,573,19,412,0,0.457031,0.734056,-1.63036,-0.105825,0,55.0111,0.425703,0.424767,0.484787,0.474838,36888,31727.3,92071.7,4553.19,8972.59,9325.23,91529.8,0.0996517,68.3454,46.8522,38.0805,19.9075,20.7387,37.4556,37.929,2.63648,60698.3,50356.9,109354,7709.67,21202.3,24640.5,108744,1808.27,4.05893,4.45626,3.02401,11.3889,6.86765,6.37053,3.03247,23.5163,0,0.0496283,0.0800375,0.0992709,0.0684743,0,0.0803001,0,0.22848,0.224393,0.215076,0.205231,0.195436,0.183598,0.0177115,0.0530943,451,340,791,3.90026,-0.59875,-0.000160432,-0.00447306,0.793497,-0.0341037,-6.82666e-05,-0.913911,-1,0,0,0,0,-1,0,-1
9008,chair_2,1,0.921152,0.390662,6882,30,281,0,0.911621,1,-0.299267,0.924334,0,3.16646,0.414152,0.429164,0.451628,0.49392,17683.4,12869.5,2622.79,194.524,8706.61,10816.1,2400.53,0,35.9831,51.1874,4.20364,21.1022,25.9256,53.9094,3.73226,11.392,36868.6,30018.4,11637.7,1498.58,23516.2,26899.7,11072.7,959.79,5.20801,5.77173,9.2697,25.8321,6.52104,6.09714,9.50328,32.2784,0.0480216,0.0309435,0.109546,0.0205246,0.0496655,0.0277718,0.111831,0,0.272722,0.255868,0.23327,0.237041,0.192965,0.211161,0.0449007,-0.142286,143,179,322,-0.143484,0.143484,-2.8026e-45,-2.8026e-45,-2.8026e-45,2.8026e-45,-2.8026e-45,2.8026e-45,0,0,0,0,0,0,0,0
8580,chair_3,1,0.390857,0.302302,574,20,410,0,0.457031,0.734056,-1.63036,-0.105825,0,55.0112,0.425703,0.425118,0.484521,0.474838,38861.8,8153.71,9391.87,1001.83,2040.67,8461.29,9198.22,0,68.3466,46.5221,37.7388,19.7764,20.5825,37.365,37.588,2.61011,62972.8,30446.1,38679.1,5355.19,15897.9,23709,38441.5,1730.06,3.98496,5.73105,5.08466,13.6651,7.93104,6.49447,5.10035,24.042,0,0,0.023081,0.0313,0,0.034435,0.022827,0,0.228503,0.224225,0.214737,0.205169,0.196605,0.183864,0.0177115,0.0529437,453,336,789,4.63431,-1.33281,-0.000128346,-0.00357845,1.52755,-0.0272829,-5.46133e-05,-0.731129,-1,-1,0,0,-1,0,0,0
